Image_name,RegionNo.,Stat,Aperture(um),Area(um^2),Long_axis_length(um),Aperture/Long_axis_length(arbitrary),Centroid(X)(px),Centroid(Y)(px),Eccentricity(arbitrary),Solidity(arbitrary)
1,1,open,13.194798937455847,316.358024691,111.53421072239875,0.3407117932134281,140.889481707,149.731707317,0.9401677903253707,0.854166666667
1,2,open,13.772994810646225,312.258873457,103.49558107247981,0.38326491472985846,112.235521236,93.6254826255,0.9236384601872717,0.867090726481
1,3,open,12.661373561603867,234.254436728,78.15320773205138,0.46658041193189037,107.747812661,88.1353576943,0.8844787839182281,0.90162412993
1,4,open,11.658855203484983,276.331018519,89.7148141928913,0.37426932539639945,97.9079406632,94.7329842932,0.9273200483475617,0.959397237338
1,5,open,12.443688727819785,305.627893519,106.76613909753655,0.3356665684368451,147.687968442,135.287573964,0.9419808675519014,0.886053827333
1,6,open,11.209831572843736,334.080825617,109.46817125240918,0.2949196516250329,114.060627932,92.1472392638,0.9555220557817434,0.975360788455
1,7,open,12.073896216736639,303.578317901,96.44905429897567,0.36053045161450403,91.5853852264,95.6497220016,0.9327474435551361,0.946616541353
1,8,open,13.812331795477052,309.968171296,102.88987262246036,0.3866222647289995,93.7133411124,100.809801634,0.9222381603554579,0.85929144385
2,1,open,7.693589912169132,151.065779321,73.26820493665531,0.30241683914876305,99.1532322426,95.2170790104,0.9531757736111799,0.958684009181
2,3,open,8.169149279377228,183.497299383,82.71783317360766,0.2844265743183551,116.149145861,126.932982917,0.9586978271705455,0.971282705807
2,4,open,9.3835305443936,192.057291667,75.30109383380194,0.35888679157171155,88.9315756434,81.930947897,0.9333810962492024,0.975505205144
2,5,open,7.341705166931832,148.654513889,74.47860516165615,0.283895097590379,105.496350365,79.1143552311,0.9588553454844736,0.978571428571
2,6,open,7.478522627835281,174.093364198,86.07110074641588,0.2502366645875908,94.2673130194,76.845567867,0.9681846991644092,0.963951935915
2,7,open,9.412736426165646,200.496720679,79.72307594921946,0.3400355616562543,94.3716175586,93.5586289838,0.9404125779726236,0.971946230275
2,8,open,8.661465288670273,185.426311728,78.83743340983135,0.31641085906101607,84.9401820546,87.6423927178,0.9486222474031851,0.97095959596
2,9,open,8.022021939996757,163.122106481,74.85170195871541,0.30865595013368424,90.2350332594,77.5373244642,0.9511737509241267,0.971284996411
2,10,open,9.891764326896679,223.162615741,83.70481242817044,0.3403422149223387,107.609400324,82.0448406267,0.9403016413586422,0.963560645497
2,11,open,5.1447230861279305,114.535108025,81.97253349559638,0.18075325790491042,96.8926315789,89.7326315789,0.9835284742989198,0.944333996024
2,12,open,6.731858494385981,161.193094136,88.08525294406346,0.220102137597804,94.4884068811,112.422587883,0.9754768316187101,0.96884057971
2,13,open,7.922476902802829,146.484375,68.07949657330734,0.3351483872314377,103.557201646,94.3102880658,0.9421653562598056,0.965818759936
20170419_1_01,1,open,11.866970992952893,228.467399691,91.63539444091145,0.3729658901805933,102.82005277,89.036939314,0.9278450542853572,0.847495527728
20170419_1_01,2,open,11.556054486771389,213.758680556,86.34467109194128,0.3854486501716239,108.724196277,96.3795826283,0.9227292875382644,0.853635050554
20170419_1_01,5,open,12.75444984447464,234.495563272,84.21508325476148,0.4361785814658101,91.2514138817,94.1645244216,0.8998601252808537,0.858340688438
20170419_1_01,7,open,12.798494994353527,229.552469136,90.63878455540541,0.40666548833967087,79.0845588235,102.391281513,0.9135771344519613,0.803375527426
20170419_1_01,8,open,16.240578003490125,268.976658951,82.96026341786944,0.563798410504767,81.6360376513,86.6064545047,0.8259124362257165,0.817815249267
20170419_1_01,9,open,14.967026045669883,303.337191358,86.41381725104702,0.4988210957780248,90.433227345,83.3469793323,0.8667049754136702,0.880952380952
20170419_1_02,1,open,5.765942133903643,129.364390432,83.21752607457383,0.19954826980510587,96.4277726002,86.0475302889,0.9798879976904445,0.952930728242
20170419_1_02,2,open,11.48622814137799,252.580054012,85.41116254302386,0.38730695218561356,91.6758949881,99.9045346062,0.921950825580568,0.954007285974
20170419_1_02,3,open,11.708784385017108,224.729938272,91.34956031378854,0.3691457179762614,94.9511802575,87.1936695279,0.9293715289913881,0.851919561243
20170419_1_02,4,open,8.825575668406735,221.354166667,92.54266370697046,0.2746588104000825,92.635620915,97.0174291939,0.9615417504558039,0.965807469753
20170419_1_02,5,open,9.378439233906118,240.885416667,94.5020761612663,0.2858128211655122,110.801801802,79.4864864865,0.958285464388045,0.971317452601
20170419_1_02,6,open,11.636627348103195,244.622878086,79.85200577223206,0.4196949899809688,87.9605717102,111.390832923,0.90766520005169,0.940658321743
20170419_1_02,7,open,11.869563299241477,291.883680556,90.84328623690345,0.3763001507086462,89.6592317224,97.107393639,0.926497812505054,0.97857720291
20170419_1_02,8,open,13.297063358398374,287.543402778,93.86935041517575,0.40796641611782286,122.36687631,145.166457023,0.9129969350003205,0.807926829268
20170419_1_02,9,open,14.78802331390651,266.68595679,71.59717247834483,0.5948490096718876,88.5054249548,88.2852622061,0.803837456014818,0.940476190476
20170419_1_02,10,popen,4.51225239824809,71.9762731481,66.16153847619715,0.19641754418437224,77.7219430486,76.5041876047,0.9805203457025153,0.832635983264
20170419_1_02,11,open,11.682850393030037,273.075810185,90.17455029307648,0.37312755120565166,94.8415011038,82.0777041943,0.9277800550406727,0.934020618557
20170419_1_02,12,open,12.014425457396438,271.026234568,84.17666893026306,0.4110586194135065,82.0582740214,75.7989323843,0.9116089136279121,0.974003466205
20170419_1_03,4,open,9.677459904048602,183.738425926,79.95088235230712,0.3486025882847021,87.3333333333,87.4947506562,0.9372706308431981,0.907683144729
20170419_1_03,5,open,7.754844915920939,173.852237654,82.45878384237618,0.27084990000028014,105.791955617,92.625520111,0.9626215931869793,0.971698113208
20170419_1_03,6,open,7.760680328033773,176.625192901,84.03093412282088,0.2659825167725621,89.7262798635,81.0723549488,0.9639778528427578,0.960655737705
20170419_1_03,7,open,8.938199412190313,200.496720679,84.78952517769267,0.30359899118624367,106.158749248,112.276007216,0.9527999016323917,0.953555045872
20170419_1_04,1,open,10.27456621339355,218.219521605,80.75387382371194,0.3664313461812481,99.4712707182,87.4171270718,0.9304450916286239,0.916455696203
20170419_1_04,2,open,9.520035203347785,189.163773148,74.09946310370785,0.3700121463399601,91.3435309114,90.7864882091,0.929026916488912,0.963759213759
20170419_1_04,3,open,8.850865137526194,189.887152778,79.84975135356666,0.31923069469817267,105.996825397,97.44,0.9476770354728039,0.950512975256
20170419_1_04,4,open,8.12668176946958,170.476466049,78.4488568425043,0.29834524603794393,112.640028289,71.2545968883,0.9544580211651839,0.965187713311
20170419_1_04,5,open,8.463907342965431,176.986882716,77.8194416496022,0.31323860247544,100.052452316,95.8589918256,0.9496744589169666,0.972185430464
20170419_1_04,6,open,9.094347201445263,194.347993827,88.42396273465226,0.29620613157498926,91.8697270471,98.7667493797,0.955124037817801,0.911764705882
20170419_1_04,7,open,7.7226372485913,174.213927469,83.22754981447575,0.2672335702002672,82.8941176471,80.860899654,0.9636317859836395,0.964619492657
20170419_1_04,8,open,8.590070243659657,184.702932099,82.64154884456397,0.29935792162209857,105.058093995,100.736292428,0.9541408883189618,0.945095619988
20170419_1_04,9,open,12.349593297315106,243.658371914,80.02393627367398,0.4444523770316978,108.229589312,87.3671449777,0.89580248076843,0.900623885918
20170419_1_04,11,open,8.992041249382558,183.617862654,76.60729998731048,0.33804975247151975,98.3493105712,105.003282994,0.9411282403870072,0.965145754119
20170419_1_04,12,open,8.774515787719126,160.831404321,72.05964952633995,0.3506900968120019,90.2263868066,82.3935532234,0.9364915674996699,0.939436619718
20170419_1_05,2,closed,0,0
20170419_1_05,3,open,6.574737196519858,127.555941358,72.93029365154013,0.25963481261229393,93.5151228733,33.7759924386,0.9657068727516539,0.94633273703
20170419_1_05,4,popen,5.821442245471626,127.67650463,82.01068609475955,0.2044337691259677,90.8593012276,94.3172804533,0.9788803982310355,0.940497335702
20170419_1_05,5,open,10.781921463116468,194.227430556,79.59524999526391,0.39012295100050676,107.592799503,90.6734947238,0.9207627724352545,0.873644251627
20170419_1_05,6,open,10.347892840835254,183.617862654,81.68998078984258,0.36481746100876955,85.5226526592,77.9402495076,0.9310790622407502,0.812266666667
20170419_1_05,7,open,7.579138602127735,149.980709877,73.40529698112196,0.2973616356288495,128.655144695,102.094855305,0.9547649227197946,0.95765973826
